#,part,what was measured,result,what it means
1,Headline,The one-sentence result,"Project context made the model's file references far less invented, but did not make its user stories better in quality terms","Grounding and quality came apart. That split is the finding, and it is a more interesting result than a straightforward win would have been."
2,What was done,The experiment,"20 real requirements from the Apache Pig project, each broken into user stories 6 different ways, giving 120 outputs","The six ways are: no context at all, all four kinds of context, and four runs that each remove one kind. Removing one at a time is what shows whether that kind was pulling weight."
3,What was done,The four kinds of context,"Past tickets, design documents, coding conventions, and summaries of the existing code","Each kind is retrieved separately with its own budget, so dropping one cannot be quietly replaced by more of another."
4,What was done,Which model wrote the outputs,"gpt-4o at temperature 0.0, the same for all six conditions","Temperature 0 means the same prompt gives the same answer, so differences between conditions come from the context and not from randomness."
5,What was done,Which model scored them,"claude-sonnet-4-6, from a different provider family than the generator","A model never judges its own output, and the judge was shown the two outputs as A and B with no indication of which condition produced them."
6,Main finding,"Invented file references, no context versus full context","70.3% of file paths did not exist without context, 49.6% with it (p = 0.0388)","The clearest positive result in the study. p below 0.05 means a difference this large is unlikely to be chance, and the effect size (0.5686) says it is a moderate-to-large one."
7,Main finding,Where those references went instead,Confirmed-real stayed flat (6.7% to 5.8%); unverifiable rose (23.0% to 44.6%),"Context stopped the model inventing file names, but did not make it name the right ones. Say this before anybody asks, because it is the honest reading of the headline number."
8,Main finding,Removing one kind of context at a time,None of the four made a significant difference (smallest adjusted p = 0.7544),"No single kind of context carries the effect. With 20 requirements the test has modest power, so this means no effect was detected, not that there is none. It was expected as a possible outcome before the run, so it is a result rather than a failure."
9,Main finding,Did context make the stories better to read and act on?,"7 wins for full context against 9 for no context, out of 16 decided (p = 0.803619)","No quality difference. Combined with the finding above: better grounded is not the same as better written. Treat this as descriptive only, for the reason two rows down."
10,Main finding,Model output against the original human-written ticket,The model was preferred in 19 of 19 decided comparisons,"Almost certainly a format effect rather than a substance one. The model writes in the expected role/goal/benefit shape with acceptance criteria and the original ticket does not, so the judge has an easy tell. Not a claim that the model outperforms the developers."
11,Caveat,Was the judge itself trustworthy?,"Agreement with the researcher's own blind ratings was kappa 0.5649, below the 0.60 bar set in advance (raw agreement 84.2%, n = 19)","The judge could not be validated, so every quality result above is reported as descriptive only and the grounding results carry the conclusions. This rule was fixed before the run, not chosen after seeing the numbers, which is the point worth making to a supervisor."
12,Caveat,How consistent was the judge?,15.0% of comparisons changed winner when the two outputs swapped places (21 of 140),Some verdicts depend on presentation order. Each comparison was run both ways and reconciled precisely so this could be measured rather than hidden.
13,Caveat,How far do these findings reach?,"One project (Apache Pig), 20 requirements, one generator model","A case study. The result is evidence about this setting, and repeating the work on another project would be needed before generalising it."
